Название;Дата начала;Дата окончания;Статус организатора;Банковские реквизиты
Бензин ддля двигателей с искровым зажиганием (бензин для а/м марки АИ95) для Жамбылского областного филиала акционерного общества «Единый накопительный пенсионный фонд» по Лоту №7 на 2021 год;2021-03-31 09:00:00;2021-03-31 15:54:46;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по техническому обслуживанию автотранспорта/специальной техники по лотам №1-2 для филиала АО «ЕНПФ» в г.Нур-Султан на 2021 год;2021-03-29 09:00:00;2021-04-05 09:30:00;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги химчистки ;2021-04-01 12:00:00;2021-04-08 12:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по аренде административных/производственных помещений;2021-03-25 09:00:00;2021-03-25 16:17:46;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Закупка канцелярских товаров, калькуляторов,индексов,нитей,игл;2021-03-18 19:00:00;2021-03-19 11:30:30;Завершено;"БИК: NBRKKZKX, ИИК: KZ48125KZTT004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупки ленты красящей для термотрансферного принтера,  индекса самоклеющегося;2021-03-31 09:00:00;2021-03-31 15:02:36;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по рестайлингу логотипа, включая разработку бренбука;2021-03-29 09:00:00;2021-04-02 17:12:24;Завершено;"БИК: HSBKKZKX, ИИК: KZ706010131000043597, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Топливо дизельное;2021-04-02 09:00:00;2021-04-07 12:45:26;Завершено;"БИК: NBRKKZKX, ИИК: KZ14125KZTL008100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по аренде административных/производственных помещений;2021-03-25 09:00:00;2021-03-25 13:33:44;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Аппарат сварочный;2021-03-19 09:00:00;2021-03-19 20:17:54;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупки терминал мобильный, настольный, для сбора данных, принтер термотрансферный для печати этикеток;2021-03-31 09:00:00;2021-03-31 15:13:10;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по предоставлению сертификатов SSL для доменов Центрального депозитария;2021-03-29 10:00:00;2021-03-29 12:10:02;Завершено;"БИК: HSBKKZKX, ИИК: KZ706010131000043597, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по участку ЭРУ;2021-04-02 09:00:00;2021-04-02 15:53:23;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обучению персонала/сотрудников;2021-03-19 09:00:00;2021-03-25 13:13:09;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по перевозкам легковым автотранспортом;2021-03-25 09:00:00;2021-03-25 17:43:40;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Работы по переносу ограждения земельного участка;2021-03-30 12:00:00;2021-04-06 12:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Аргон;2021-03-29 09:00:00;2021-04-05 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
"""Техническое обслуживание,  сопровождение,  администрирование UTM системы""";2021-03-31 22:00:00;2021-04-08 10:31:14;Завершено;"БИК: VTBAKZKZ, ИИК: KZ264322203398B01022, КБЕ: 16, Банк: ДО АО ""Банк ВТБ (Казахстан)"", КАТО: 751410000, г. Алматы, ул. Тимирязева, 28в"
"Объявление о проведении повторной закупки услуг по техническому обслуживанию автотранспорта/специальной техники для Павлодарского ОФ АО """"ЕНПФ"" на 2021 год";2021-03-19 09:00:00;2021-03-31 09:30:00;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Удостоверение;2021-03-19 15:00:00;2021-03-19 15:48:46;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Ноутбук;2021-03-31 09:00:00;2021-04-12 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ70125KZT1002313687, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупки спецодежды (костюмы мужские, костюмы женские);2021-03-26 09:00:00;2021-03-30 13:56:14;Завершено;"БИК: NBRKKZKX, ИИК: KZ66125KZTJ001100100, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Драм картридж оригинальный к МФУ ф. А3 цветной печати Xerox DocuCenter SC2020CPS_B;2021-03-18 14:30:00;2021-03-19 15:20:13;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
"""Услуги смс-рассылки (резервный)""";2021-03-31 22:00:00;2021-04-05 15:50:14;Завершено;"БИК: VTBAKZKZ, ИИК: KZ264322203398B01022, КБЕ: 16, Банк: ДО АО ""Банк ВТБ (Казахстан)"", КАТО: 751410000, г. Алматы, ул. Тимирязева, 28в"
Услуги по администрированию и техническому обслуживанию программного обеспечения;2021-03-31 09:00:00;2021-04-12 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ70125KZT1002313687, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупки бумаги для офисного оборудования, формат А4, клея канцелярского, карандаш, скрепок канцелярских, металлических, файл - вкладыш без перфорации, скобы канцелярские и скотч полиэтиленовый.;2021-02-02 09:00:00;2021-02-04 16:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ69125KZTM006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
